Player Name,OVR,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICALITY,Position,Age,Foot,Height,League,Nation,Team,Weight
Sakina Karchaoui,86,89,61,82,87,79,65,LB,27,Left,16,D1 Arkema,France,Paris SG,55
Sadio Mané,86,85,83,79,87,44,74,CF,31,Right,17,ROSHN Saudi League,Senegal,Al Nassr,69
Toni Kroos,86,51,80,90,81,70,71,CM,33,Right,18,LALIGA EA SPORTS,Germany,Real Madrid,76
Lindsey Horan,86,78,84,86,84,63,78,CM,29,Right,17,D1 Arkema,United States,OL,67
Éder Militão,86,85,50,69,71,86,82,CB,25,Right,18,LALIGA EA SPORTS,Brazil,Real Madrid,78
Christopher Nkunku,86,82,81,83,88,62,67,CF,26,Right,17,Premier League,France,Chelsea,73
N'Golo Kanté,86,69,65,73,80,85,77,CDM,32,Right,16,ROSHN Saudi League,France,Al Ittihad,70
Kim Little,86,76,78,83,88,62,66,CM,33,Right,16,Barclays WSL,Scotland,Arsenal,57
Lea Schüller,86,86,83,70,81,33,73,ST,26,Right,17,GPFBL,Germany,FC Bayern München,60
João Cancelo,86,81,73,85,84,80,72,LB,29,Right,18,LALIGA EA SPORTS,Portugal,FC Barcelona,74
Cristiano Ronaldo,86,77,88,75,80,34,74,ST,38,Right,18,ROSHN Saudi League,Portugal,Al Nassr,85
Trent Alexander-Arnold,86,76,69,90,79,80,73,RB,25,Right,18,Premier League,England,Liverpool,69
Ashley Lawrence,86,86,67,82,80,82,78,RB,28,Right,16,Barclays WSL,Canada,Chelsea,60
Mallory Swanson,86,93,82,82,84,42,71,LW,25,Right,16,NWSL,United States,Chicago Red Stars,54
Wojciech Szczęsny,86,86,83,73,87,49,86,GK,33,Right,19,Serie A TIM,Poland,Juventus,90
Cristiana Girelli,86,81,85,71,81,46,78,ST,33,Right,17,Calcio A Femminile,Italy,Juventus,64
Jack Grealish,85,76,76,84,88,53,73,LW,28,Right,18,Premier League,England,Manchester City,81
Marcos Acuña,85,75,74,83,83,81,84,LB,32,Left,17,LALIGA EA SPORTS,Argentina,Sevilla FC,69
David Alaba,85,79,71,83,80,85,77,CB,31,Left,18,LALIGA EA SPORTS,Austria,Real Madrid,78
Iago Aspas,85,81,85,79,86,35,64,ST,36,Left,17,LALIGA EA SPORTS,Spain,RC Celta,67
Alessandro Bastoni,85,73,35,72,73,86,83,CB,24,Left,19,Serie A TIM,Italy,Inter,75
Ona Batlle,85,79,50,78,79,80,71,RB,24,Right,16,Liga F,Spain,FC Barcelona,55
Domenico Berardi,85,82,83,81,87,36,72,RW,29,Left,18,Serie A TIM,Italy,Sassuolo,72
Yassine Bounou,85,82,83,79,87,38,84,GK,32,Left,19,ROSHN Saudi League,Morocco,Al Hilal,78
Millie Bright,85,57,50,69,58,86,87,CB,30,Right,17,Barclays WSL,England,Chelsea,76
Kadeisha Buchanan,85,67,44,58,65,87,85,CB,28,Right,17,Barclays WSL,Canada,Chelsea,65
Hakan Çalhanoğlu,85,67,80,86,85,70,66,CM,29,Right,17,Serie A TIM,Turkey,Inter,76
Kingsley Coman,85,89,76,79,87,30,62,LM,27,Right,18,Bundesliga,France,FC Bayern München,75
Rachel Daly,85,77,85,76,82,64,76,ST,32,Right,16,Barclays WSL,England,Aston Villa,62
Giovanni Di Lorenzo,85,85,67,75,79,82,82,RB,30,Right,18,Serie A TIM,Italy,Napoli FC,83
Phil Foden,85,81,79,82,88,57,60,LW,23,Left,17,Premier League,England,Manchester City,69
Merle Frohms,85,85,82,76,84,51,86,GK,28,Right,17,GPFBL,Germany,VfL Wolfsburg,60
Leon Goretzka,85,78,81,81,83,80,86,CM,28,Right,18,Bundesliga,Germany,FC Bayern München,82
Kathrin Hendrich,85,72,39,70,73,86,75,CB,31,Right,17,GPFBL,Germany,VfL Wolfsburg,55
Amandine Henry,85,60,80,78,78,83,82,CDM,34,Right,17,NWSL,France,Angel City FC,64
Theo Hernández,85,93,71,76,81,78,84,LB,26,Left,18,Serie A TIM,France,Milan,81
Svenja Huth,85,82,72,83,86,52,67,RM,32,Right,16,GPFBL,Germany,VfL Wolfsburg,54
Ciro Immobile,85,85,87,68,78,39,74,ST,33,Right,18,Serie A TIM,Italy,Latium,85
Jules Koundé,85,84,45,68,75,86,80,CB,25,Right,18,LALIGA EA SPORTS,France,FC Barcelona,75
Aymeric Laporte,85,61,50,73,69,86,78,CB,29,Left,19,ROSHN Saudi League,Spain,Al Nassr,85
Emiliano Martínez,85,83,83,82,85,58,84,GK,31,Right,19,Premier League,Argentina,Aston Villa,88
Katie McCabe,85,80,74,80,80,81,82,LB,28,Left,16,Barclays WSL,Republic of Ireland,Arsenal,55
Keylor Navas,85,84,80,75,87,54,84,GK,37,Right,18,Ligue 1 Uber Eats,Costa Rica,Paris SG,80
André Onana,85,83,80,88,85,61,84,GK,27,Right,19,Premier League,Cameroon,Manchester Utd,93
Asisat Oshoala,85,91,84,78,85,50,85,ST,29,Right,16,Liga F,Nigeria,FC Barcelona,60
Thomas Partey,85,68,71,82,80,81,82,CDM,30,Right,18,Premier League,Ghana,Arsenal,77
Megan Rapinoe,85,73,85,83,86,46,72,LM,38,Right,16,NWSL,United States,OL Reign,60
Marcus Rashford,85,90,86,78,84,42,74,LW,26,Right,18,Premier League,England,Manchester Utd,70
Declan Rice,85,71,65,75,77,83,83,CDM,24,Right,18,Premier League,England,Arsenal,80
Antonio Rüdiger,85,82,54,71,66,84,86,CB,30,Right,19,LALIGA EA SPORTS,Germany,Real Madrid,85
Becky Sauerbrunn,85,61,44,61,69,87,83,CB,38,Right,17,NWSL,United States,Portland Thorns,64
Khadija Shaw,85,69,85,69,75,30,85,ST,26,Right,18,Barclays WSL,Jamaica,Manchester City,70
Kailen Sheridan,85,85,82,80,85,41,84,GK,28,Right,17,NWSL,Canada,San Diego Wave,72
Rodrygo,85,88,81,79,86,31,62,RW,22,Right,17,LALIGA EA SPORTS,Brazil,Real Madrid,64
John Stones,85,72,52,75,77,85,77,CB,29,Right,18,Premier League,England,Manchester City,76
Diogo Jota,85,82,82,75,85,57,77,CF,27,Right,17,Premier League,Portugal,Liverpool,68
Kevin Trapp,85,83,81,77,86,46,85,GK,33,Right,18,Bundesliga,Germany,Frankfurt,84
Kieran Trippier,85,68,65,86,79,82,72,RB,33,Right,17,Premier League,England,Newcastle Utd,71
Raphaël Varane,85,79,49,64,67,86,78,CB,30,Right,19,Premier League,France,Manchester Utd,81
Keira Walsh,85,64,46,81,79,79,75,CDM,26,Right,16,Liga F,England,FC Barcelona,60
Leah Williamson,85,75,45,73,72,86,76,CB,26,Right,17,Barclays WSL,England,Arsenal,57
Florian Wirtz,85,74,76,83,87,52,63,CAM,20,Right,17,Bundesliga,Germany,Leverkusen,72
Manuela Zinsberger,85,86,77,79,87,46,86,GK,28,Right,17,Barclays WSL,Austria,Arsenal,67
Thiago,84,61,72,86,89,71,67,CM,32,Right,17,Premier League,Spain,Liverpool,70
Ismaël Bennacer,84,80,72,81,86,79,78,CDM,26,Left,17,Serie A TIM,Algeria,Milan,70
Ann-Katrin Berger,84,85,83,80,83,45,81,GK,33,Right,18,Barclays WSL,Germany,Chelsea,63
Bella Bixby,84,85,79,74,89,42,81,GK,28,Right,18,NWSL,United States,Portland Thorns,70
Lisa Boattin,84,75,68,81,81,81,86,LB,26,Left,16,Calcio A Femminile,Italy,Juventus,53
Julian Brandt,84,71,80,84,86,51,70,CAM,27,Right,18,Bundesliga,Germany,Borussia Dortmund,83
Jane Campbell,84,84,83,85,83,40,85,GK,28,Right,17,NWSL,United States,Houston Dash,66
Catarina Macario,84,81,83,80,89,57,73,CAM,24,Right,16,Barclays WSL,United States,Chelsea,58
Yannick Carrasco,84,88,81,80,85,59,66,LM,30,Right,18,ROSHN Saudi League,Belgium,Al Shabab,73
Delphine Cascarino,84,94,74,80,88,38,58,RW,26,Right,16,D1 Arkema,France,OL,58
Koen Casteels,84,84,82,77,86,45,85,GK,31,Left,19,Bundesliga,Belgium,VfL Wolfsburg,86
Federico Chiesa,84,91,82,76,86,53,75,LM,26,Right,17,Serie A TIM,Italy,Juventus,70
Thiago Silva,84,51,54,74,72,87,74,CB,39,Right,18,Premier League,Brazil,Chelsea,79
Rúben Neves,84,60,75,86,77,76,73,CDM,26,Right,18,ROSHN Saudi League,Portugal,Al Hilal,83
Sara Däbritz,84,76,81,84,86,74,73,CM,28,Left,17,D1 Arkema,Germany,OL,58
Linda Dallmann,84,77,77,79,86,46,61,CAM,29,Right,15,GPFBL,Germany,FC Bayern München,51
Rodrigo Javier De Paul,84,78,77,83,82,75,83,CM,29,Right,18,LALIGA EA SPORTS,Argentina,Atlético de Madrid,70
Memphis Depay,84,82,82,81,85,30,80,CF,29,Right,17,LALIGA EA SPORTS,Holland,Atlético de Madrid,78
Moussa Diaby,84,95,73,75,86,42,59,RM,24,Left,17,Premier League,France,Aston Villa,67
Raphinha,84,91,79,78,86,53,73,RW,27,Left,17,LALIGA EA SPORTS,Brazil,FC Barcelona,68
Luis Díaz,84,91,81,75,87,34,74,LW,26,Right,18,Premier League,Colombia,Liverpool,73
Gabriel,84,70,41,62,60,85,82,CB,25,Left,19,Premier League,Brazil,Arsenal,87
Paulina Dudek,84,64,46,64,68,88,76,CB,26,Left,16,D1 Arkema,Poland,Paris SG,62
Crystal Dunn,84,87,77,83,85,77,81,CAM,31,Right,15,NWSL,United States,Portland Thorns,55
Gabriel Jesus,84,83,82,75,88,40,77,ST,26,Right,17,Premier League,Brazil,Arsenal,73
Jess Fishlock,84,75,81,80,82,75,73,CM,36,Right,15,NWSL,Wales,OL Reign,54
Caitlin Foord,84,86,77,80,83,45,70,LW,29,Right,16,Barclays WSL,Australia,Arsenal,61
Matthias Ginter,84,60,59,71,66,85,80,CB,29,Right,18,Bundesliga,Germany,SC Freiburg,86
Serge Gnabry,84,81,84,78,84,43,68,RM,28,Right,17,Bundesliga,Germany,FC Bayern München,77
Grimaldo,84,87,69,83,84,76,72,LWB,28,Left,17,Bundesliga,Spain,Leverkusen,67
Bruno Guimarães,84,71,74,81,84,80,81,CM,26,Right,18,Premier League,Brazil,Newcastle Utd,74
Péter Gulácsi,84,85,84,76,84,43,83,GK,33,Right,19,Bundesliga,Hungary,RB Leipzig,86
Achraf Hakimi,84,92,75,80,80,75,78,RB,25,Right,18,Ligue 1 Uber Eats,Morocco,Paris SG,73
Pernille Harder,84,81,78,81,87,27,77,CAM,31,Right,16,GPFBL,Denmark,FC Bayern München,60
Fabinho,84,59,69,78,77,82,82,CDM,30,Right,18,ROSHN Saudi League,Brazil,Al Ittihad,78
Lucas Hernández,84,76,54,70,70,84,78,CB,27,Left,18,Ligue 1 Uber Eats,France,Paris SG,79
Pierre-Emile Højbjerg,84,55,73,78,78,81,82,CDM,28,Right,18,Premier League,Denmark,Spurs,84
Amanda Ilestedt,84,68,42,65,63,87,78,CB,30,Right,17,Barclays WSL,Sweden,Arsenal,65
Reece James,84,80,72,83,82,82,81,RB,24,Right,17,Premier League,England,Chelsea,87
Chloe Kelly,84,88,77,85,85,43,67,RW,25,Right,16,Barclays WSL,England,Manchester City,58
Kim Min Jae,84,80,33,58,64,85,84,CB,27,Right,19,Bundesliga,Korea Republic,FC Bayern München,86
Aubrey Kingsbury,84,85,83,75,85,41,84,GK,32,Right,17,NWSL,United States,Washington Spirit,65
Fran Kirby,84,85,83,78,88,42,57,CAM,30,Right,15,Barclays WSL,England,Chelsea,52
Randal Kolo Muani,84,91,78,73,86,38,67,ST,25,Right,18,Ligue 1 Uber Eats,France,Paris SG,73
Kalidou Koulibaly,84,76,48,63,68,84,83,CB,32,Right,18,ROSHN Saudi League,Senegal,Al Hilal,93
Eugénie Le Sommer,84,70,85,79,85,43,71,ST,34,Right,16,D1 Arkema,France,OL,58
Marcos Llorente,84,89,78,79,80,78,81,RM,28,Right,18,LALIGA EA SPORTS,Spain,Atlético de Madrid,74
Stanislav Lobotka,84,71,70,81,83,77,75,CM,29,Right,17,Serie A TIM,Slovakia,Napoli FC,64
Romelu Lukaku,84,80,84,74,77,38,82,ST,30,Left,19,Serie A TIM,Belgium,Roma FC,94
James Maddison,84,71,81,86,86,54,63,CAM,27,Right,17,Premier League,England,Spurs,73
Amel Majri,84,78,75,85,88,81,73,CAM,30,Left,16,D1 Arkema,France,OL,54
Lieke Martens,84,77,84,83,87,44,71,LW,31,Right,17,D1 Arkema,Holland,Paris SG,66
Gabriel Martinelli,84,89,78,76,86,46,72,LW,22,Right,17,Premier League,Brazil,Arsenal,75
Lisandro Martínez,84,73,59,78,79,85,83,CB,25,Left,17,Premier League,Argentina,Manchester Utd,77
Clara Mateo,84,82,83,81,84,59,72,RM,26,Right,16,D1 Arkema,France,Paris FC,60
Mikel Merino,84,72,78,82,82,83,82,CM,27,Left,18,LALIGA EA SPORTS,Spain,Real Sociedad,83
Thomas Müller,84,59,82,83,79,55,69,CAM,34,Right,18,Bundesliga,Germany,FC Bayern München,76
Yuki Nagasato,84,80,80,81,85,49,73,CAM,36,Right,16,NWSL,Japan,Chicago Red Stars,56
Ashleigh Neville,84,77,70,77,77,85,84,RB,30,Right,17,Barclays WSL,England,Spurs,64
Chiamaka Nnadozie,84,84,82,79,86,60,84,GK,23,Right,18,D1 Arkema,Nigeria,Paris FC,68
Nick Pope,84,82,83,75,86,49,84,GK,31,Right,19,Premier League,England,Newcastle Utd,76
Adrien Rabiot,84,78,76,80,80,82,84,CM,28,Left,19,Serie A TIM,France,Juventus,80
Aaron Ramsdale,84,84,79,87,86,48,81,GK,25,Right,19,Premier League,England,Arsenal,77
Álex Remiro,84,84,78,80,86,42,86,GK,28,Right,19,LALIGA EA SPORTS,Spain,Real Sociedad,79
Koke,84,69,72,85,79,79,78,CDM,31,Right,17,LALIGA EA SPORTS,Spain,Atlético de Madrid,75
Trinity Rodman,84,94,81,77,83,43,83,RW,21,Right,16,NWSL,United States,Washington Spirit,66
Luis Alberto,84,69,77,85,84,62,58,CM,31,Right,18,Serie A TIM,Spain,Latium,74
Alessia Russo,84,82,82,68,84,39,72,ST,24,Right,17,Barclays WSL,England,Arsenal,64
Leroy Sané,84,91,81,80,85,38,68,RM,27,Left,18,Bundesliga,Germany,FC Bayern München,80
Desiree Scott,84,64,54,70,75,83,85,CDM,36,Right,15,NWSL,Canada,KC Current,62
Bremer,84,80,50,56,65,85,83,CB,26,Right,18,Serie A TIM,Brazil,Juventus,82
Milan Škriniar,84,78,41,57,67,86,83,CB,28,Right,18,Ligue 1 Uber Eats,Slovakia,Paris SG,80
Chris Smalling,84,62,47,58,62,87,82,CB,34,Right,19,Serie A TIM,England,Roma FC,81
Yann Sommer,84,78,79,83,90,50,84,GK,35,Right,18,Serie A TIM,Switzerland,Inter,79
Georgia Stanway,84,80,79,80,85,76,75,CDM,24,Right,16,GPFBL,England,FC Bayern München,58
Niklas Süle,84,73,51,68,62,85,85,CB,28,Right,19,Bundesliga,Germany,Borussia Dortmund,99
Aurélien Tchouaméni,84,73,69,79,78,81,81,CDM,23,Right,18,LALIGA EA SPORTS,France,Real Madrid,81
Fikayo Tomori,84,86,40,59,66,86,82,CB,25,Right,18,Serie A TIM,England,Milan,79
Marta Torrejón,84,64,54,76,73,85,74,RB,33,Right,17,Liga F,Spain,FC Barcelona,62
Marta,84,72,82,85,88,44,74,CAM,37,Left,16,NWSL,Brazil,Orlando Pride,56
Kyle Walker,84,90,63,77,78,79,81,RB,33,Right,18,Premier League,England,Manchester City,83
Caroline Weir,84,72,83,84,84,74,67,CAM,28,Left,17,Liga F,Scotland,Real Madrid CF,60
Francesco Acerbi,83,60,50,64,64,86,80,CB,35,Left,19,Serie A TIM,Italy,Inter,88
Rasheedat Ajibade,83,88,83,70,84,37,76,ST,24,Right,16,Liga F,Nigeria,Atlético de Madrid,53
Jordi Alba,83,84,70,82,81,76,70,LB,34,Left,17,MLS,Spain,Inter Miami CF,68
Marco Asensio,83,81,81,81,83,43,63,RW,27,Left,18,Ligue 1 Uber Eats,Spain,Paris SG,76
Wissam Ben Yedder,83,80,84,78,87,39,68,ST,33,Right,17,Ligue 1 Uber Eats,France,AS Monaco,68
Hannah Blundell,83,71,54,72,72,83,72,LB,29,Right,16,Barclays WSL,England,Manchester Utd,54
Barbara Bonansea,83,79,81,75,86,29,74,RW,32,Right,17,Calcio A Femminile,Italy,Juventus,60
Sven Botman,83,65,37,63,66,84,84,CB,23,Left,19,Premier League,Holland,Newcastle Utd,81
Mathilde Bourdieu,83,80,84,71,82,36,74,ST,24,Right,16,D1 Arkema,France,Paris FC,67
Marcelo Brozović,83,66,74,81,80,80,78,CDM,31,Right,18,ROSHN Saudi League,Croatia,Al Nassr,72
Klara Bühl,83,82,85,77,83,34,69,LM,23,Right,17,GPFBL,Germany,FC Bayern München,65
Sergio Busquets,83,37,62,79,79,81,73,CDM,35,Right,18,MLS,Spain,Inter Miami CF,76
Emre Can,83,79,78,77,79,82,87,CDM,29,Right,18,Bundesliga,Germany,Borussia Dortmund,86
Ellie Carpenter,83,81,51,78,77,81,78,RB,23,Right,16,D1 Arkema,Australia,OL,60
Arianna Caruso,83,74,79,82,87,70,72,CM,24,Right,16,Calcio A Femminile,Italy,Juventus,55
Steph Catley,83,85,66,80,78,78,76,LB,29,Left,17,Barclays WSL,Australia,Arsenal,60
Andreas Christensen,83,67,32,68,71,85,76,CB,27,Right,18,LALIGA EA SPORTS,Denmark,FC Barcelona,82
Erin Cuthbert,83,78,80,81,82,75,69,CM,25,Right,16,Barclays WSL,Scotland,Chelsea,60
Ludmila,83,87,81,69,84,38,79,ST,29,Right,16,Liga F,Brazil,Atlético de Madrid,60
Sergi Darder,83,81,76,82,83,74,77,CM,29,Right,18,LALIGA EA SPORTS,Spain,RCD Mallorca,71
Alphonso Davies,83,95,66,78,84,74,77,LB,23,Left,18,Bundesliga,Canada,FC Bayern München,77
Ángel Di María,83,78,78,86,89,48,67,CF,35,Left,18,Liga Portugal,Argentina,SL Benfica,69
Sara Doorsoun,83,76,58,74,76,85,78,CB,32,Right,17,GPFBL,Germany,Frankfurt,58
Edin Džeko,83,59,84,72,77,45,76,ST,37,Right,19,Trendyol Süper Lig,Bosnia and Herzegovina,Fenerbahçe,80
Christian Eriksen,83,59,77,89,81,51,53,CM,31,Right,18,Premier League,Denmark,Manchester Utd,76
Magdalena Eriksson,83,64,46,72,66,85,81,CB,30,Left,17,GPFBL,Sweden,FC Bayern München,66
Nabil Fekir,83,82,81,81,86,39,80,CAM,30,Left,17,LALIGA EA SPORTS,France,Real Betis,75
Enzo Fernández,83,73,73,81,80,75,79,CM,22,Right,17,Premier League,Argentina,Chelsea,76
Nacho Fernández,83,75,37,69,71,82,80,CB,33,Right,18,LALIGA EA SPORTS,Spain,Real Madrid,76
